EXPEDITION,BLOCK,PLOT,TRT,ID,N,P,CATIONS,COLLECTION_DATE,CONDITION,Weight1_1,Weight1_2,Weight1_3,Mean_weight_1,Weight2_1,Weight2_2,Weight2_3,Mean_weight_2,Weight3_1,Weight3_2,Weight3_3,Mean_weight_3,Residual_fat,Standard_residuals_hingstepeira
FIRST,B3,P7,N+P,NP_R02,1,1,0,27/10/2022,Adult,0.0042,0.0041,0.0041,0.0041,0.0038,0.0043,0.0043,0.0041,0.0039,0.0043,0.0041,0.0041,0,-1.473921607
FIRST,B3,P7,N+P,NP_R03,1,1,0,27/10/2022,Adult,0.0031,0.0032,0.0035,0.0033,0.0029,0.003,0.0029,0.0029,0.003,0.003,0.0029,0.003,3.00E-04,-0.317495922
SECOND,B3,P7,N+P,NP_R07,1,1,0,03/06/2023,Adult,0.0025,0.0026,0.0023,0.0025,0.0021,0.0024,0.0022,0.0022,0.0027,0.0022,0.0025,0.0025,0,-0.520147266
THIRD,B1,P7,N+P,NP_R20,1,1,0,19/03/2024,Adult,0.0049,0.0046,0.005,0.0048,0.0045,0.0046,0.0045,0.0045,0.0047,0.0044,0.0044,0.0045,3.00E-04,-1.214093551
THIRD,B1,P7,N+P,NP_R21,1,1,0,19/03/2024,Adult,0.0032,0.003,0.0029,0.003,0.0031,0.0031,0.003,0.0031,0.0028,0.0031,0.003,0.003,0,-0.817758302
THIRD,B1,P7,N+P,NP_R21_dup,1,1,0,19/03/2024,Adult,0.0049,0.0043,0.0051,0.0048,0.0044,0.0047,0.0042,0.0044,0.0047,0.0041,0.0042,0.0043,5.00E-04,-0.76042126
THIRD,B1,P7,N+P,NP_R22,1,1,0,19/03/2024,Adult,0.0126,0.013,0.0129,0.0128,0.009,0.0092,0.0093,0.0092,0.0098,0.01,0.0095,0.0098,0.003,0.134271031
THIRD,B1,P7,N+P,NP_R23,1,1,0,19/03/2024,Adult,0.0047,0.0052,0.0057,0.0052,0.0051,0.0046,0.0047,0.0048,0.0048,0.0047,0.0047,0.0047,5.00E-04,-1.000770808
THIRD,B2,P2,N+P,NP_R24,1,1,0,21/03/2024,Adult,0.0057,0.0054,0.0055,0.0055,0.0033,0.0035,0.0035,0.0034,0.0037,0.0035,0.0035,0.0036,0.0019,1.990154889
THIRD,B4,P4,N+P,NP_R40,1,1,0,25/03/2024,Adult,0.0032,0.0034,0.0033,0.0033,0.003,0.003,0.0032,0.0031,0.0029,0.003,0.003,0.003,3.00E-04,-0.317495922
THIRD,B4,P4,N+P,NP_R41,1,1,0,25/03/2024,Adult,0.0056,0.006,0.0056,0.0057,0.0054,0.0048,0.0045,0.0049,0.0045,0.0047,0.0046,0.0046,0.0011,0.06081627
THIRD,B4,P4,N+P,NP_R42,1,1,0,25/03/2024,Adult,0.0057,0.005,0.0051,0.0053,0.0045,0.0049,0.0048,0.0047,0.0038,0.0038,0.004,0.0039,0.0014,0.978284463
THIRD,B4,P4,N+P,NP_R43,1,1,0,25/03/2024,Adult,0.0054,0.0053,0.0052,0.0053,0.0043,0.0039,0.0043,0.0042,0.0038,0.0042,0.004,0.004,0.0013,0.752090489
THIRD,B4,P4,N+P,NP_R44,1,1,0,25/03/2024,Adult,0.0038,0.0039,0.0037,0.0038,0.0035,0.0035,0.0037,0.0036,0.0036,0.0039,0.0036,0.0037,1.00E-04,-1.068066683
THIRD,B4,P4,N+P,NP_R45,1,1,0,25/03/2024,Adult,0.0037,0.0041,0.0039,0.0039,0.004,0.004,0.0033,0.0038,0.0037,0.0038,0.0041,0.0039,0,-1.354143966
THIRD,B4,P4,N+P,NP_R47,1,1,0,25/03/2024,Adult,0.0034,0.0037,0.0039,0.0037,0.0036,0.0035,0.0037,0.0036,0.0035,0.0037,0.0036,0.0036,1.00E-04,-1.008405073
