EXPEDITION,BLOCK,PLOT,ID,STEP,WEIGHT
FIRST,1,1,Fo_R03,P2,0.0019
FIRST,3,4,Fo_R05,Pi,0.0037
FIRST,3,4,Fo_R05,P1,0.0038
FIRST,3,4,Fo_R05,P2,0.0037
FIRST,4,5,Fo_R06,Pi,0.0035
FIRST,4,5,Fo_R06,P1,0.0033
FIRST,4,5,Fo_R06,P2,0.0032
SECOND,1,1,Fo_R10,Pi,0.0026
SECOND,1,1,Fo_R10,P1,0.0025
SECOND,1,1,Fo_R10,P2,0.0026
THIRD,1,1,Fo_R40,Pi,0.0051
THIRD,1,1,Fo_R40,P1,0.0043
THIRD,1,1,Fo_R40,P2,0.0042
THIRD,1,1,Fo_R42,Pi,0.0032
THIRD,1,1,Fo_R42,P1,0.0029
THIRD,1,1,Fo_R42,P2,0.0028
THIRD,1,1,Fo_R44,Pi,0.0053
THIRD,1,1,Fo_R44,P1,0.0039
THIRD,1,1,Fo_R44,P2,0.0036
THIRD,1,1,Fo_R45,Pi,0.0041
THIRD,1,1,Fo_R45,P1,0.0036
THIRD,1,1,Fo_R45,P2,0.0033
THIRD,2,7,Fo_R48,Pi,0.0073
THIRD,2,7,Fo_R48,P1,0.0052
THIRD,2,7,Fo_R48,P2,0.0053
THIRD,2,7,Fo_R49,Pi,0.0088
THIRD,2,7,Fo_R49,P1,0.0056
THIRD,2,7,Fo_R49,P2,0.0056
THIRD,2,7,Fo_R50,Pi,0.0062
THIRD,2,7,Fo_R50,P1,0.0053
THIRD,2,7,Fo_R50,P2,0.0051
THIRD,1,1,Fo_R51,Pi,0.0043
THIRD,1,1,Fo_R51,P1,0.0033
THIRD,1,1,Fo_R51,P2,0.003
THIRD,1,1,Fo_R52,Pi,0.0028
THIRD,1,1,Fo_R52,P1,0.0029
THIRD,1,1,Fo_R52,P2,0.0028
THIRD,1,1,Fo_R53,Pi,0.0049
THIRD,1,1,Fo_R53,P1,0.0034
THIRD,1,1,Fo_R53,P2,0.0028
THIRD,4,5,Fo_R55,Pi,0.003
THIRD,4,5,Fo_R55,P1,0.003
THIRD,4,5,Fo_R55,P2,0.0028
THIRD,4,5,Fo_R59,Pi,0.0049
THIRD,4,5,Fo_R59,P1,0.0041
THIRD,4,5,Fo_R59,P2,0.004
THIRD,4,5,Fo_R60,Pi,0.0079
THIRD,4,5,Fo_R60,P1,0.0057
THIRD,4,5,Fo_R60,P2,0.0057
THIRD,4,5,Fo_R62,Pi,0.003
THIRD,4,5,Fo_R62,P1,0.0021
THIRD,4,5,Fo_R62,P2,0.0019
THIRD,4,5,Fo_R63,Pi,0.0057
THIRD,4,5,Fo_R63,P1,0.0044
THIRD,4,5,Fo_R63,P2,0.0044
THIRD,4,5,Fo_R64,Pi,0.0034
THIRD,4,5,Fo_R64,P1,0.0034
THIRD,4,5,Fo_R64,P2,0.0034
THIRD,4,5,Fo_R65,Pi,0.0033
THIRD,4,5,Fo_R65,P1,0.0028
THIRD,4,5,Fo_R65,P2,0.0027
THIRD,4,5,Fo_R66,Pi,0.002
THIRD,4,5,Fo_R66,P1,0.0019
THIRD,4,5,Fo_R66,P2,0.0017
THIRD,4,5,Fo_R67,Pi,0.0043
THIRD,4,5,Fo_R67,P1,0.0036
THIRD,4,5,Fo_R67,P2,0.0036
FIRST,4,2,N_R01,Pi,0.0028
FIRST,4,2,N_R01,P1,0.0028
FIRST,4,2,N_R01,P2,0.0027
FIRST,4,2,N_R03,Pi,0.0061
FIRST,4,2,N_R03,P1,0.0046
FIRST,4,2,N_R03,P2,0.0047
FIRST,4,2,N_R04,Pi,0.003
FIRST,4,2,N_R04,P1,0.0031
FIRST,4,2,N_R04,P2,0.003
FIRST,2,5,N_R06,Pi,0.0028
FIRST,2,5,N_R06,P1,0.0024
FIRST,2,5,N_R06,P2,0.0025
FIRST,2,5,N_R07,Pi,0.0055
FIRST,2,5,N_R07,P1,0.0045
FIRST,2,5,N_R07,P2,0.0046
SECOND,4,2,N_R37,Pi,0.0057
SECOND,4,2,N_R37,P1,0.0041
SECOND,4,2,N_R37,P2,0.004
THIRD,2,5,N_R40,Pi,0.005
THIRD,2,5,N_R40,P1,0.0045
THIRD,2,5,N_R40,P2,0.0046
THIRD,4,2,N_R41,Pi,0.003
THIRD,4,2,N_R41,P1,0.0031
THIRD,4,2,N_R41,P2,0.0029
THIRD,4,2,N_R42,Pi,0.0034
THIRD,4,2,N_R42,P1,0.0034
THIRD,4,2,N_R42,P2,0.0034
THIRD,4,2,N_R43,Pi,0.0058
THIRD,4,2,N_R43,P1,0.0041
THIRD,4,2,N_R43,P2,0.004
THIRD,4,2,N_R45,Pi,0.0091
THIRD,4,2,N_R45,P1,0.0072
THIRD,4,2,N_R45,P2,0.0072
THIRD,4,2,N_R47,Pi,0.0041
THIRD,4,2,N_R47,P1,0.0034
THIRD,4,2,N_R47,P2,0.0032
THIRD,4,2,N_R50,Pi,0.0038
THIRD,4,2,N_R50,P1,0.0038
THIRD,4,2,N_R50,P2,0.0036
THIRD,3,8,N_R51,Pi,0.0073
THIRD,3,8,N_R51,P1,0.0057
THIRD,3,8,N_R51,P2,0.0054
THIRD,3,8,N_R53,Pi,0.005
THIRD,3,8,N_R53,P1,0.004
THIRD,3,8,N_R53,P2,0.0043
THIRD,3,8,N_R54,Pi,0.0044
THIRD,3,8,N_R54,P1,0.0028
THIRD,3,8,N_R54,P2,0.0028
THIRD,3,8,N_R55,Pi,0.0047
THIRD,3,8,N_R55,P1,0.0035
THIRD,3,8,N_R55,P2,0.0034
THIRD,3,8,N_R56,Pi,0.0033
THIRD,3,8,N_R56,P1,0.0031
THIRD,3,8,N_R56,P2,0.0033
THIRD,3,8,N_R57,Pi,0.0038
THIRD,3,8,N_R57,P1,0.0036
